,Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,Debt,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
96,97,0,0.542242704,48,2,,6438.4734917733085,2,0,0,0,
97,98,0,0.010531379,57,0,1603.7193357380002,5714.0,6,0,1,0,0.0
98,99,0,0.363199686,32,0,1393.5194753,2900.0,4,0,1,0,0.0
99,100,0,0.032617977,75,0,50.9931975,7500.0,4,0,0,0,0.0
100,101,0,0.013024674,61,0,,6438.4734917733085,4,0,0,0,0.0
101,102,0,0.019387779,34,0,1303.67408,4000.0,9,0,1,0,0.0
102,103,0,0.634485057,52,0,371.86176137,2690.0,2,0,0,0,0.0
103,104,0,0.888008615,44,0,1468.7007520559998,4908.0,8,0,0,0,1.0
104,105,0,0.003108849,57,0,2157.741061905,8333.0,7,0,1,0,0.0
105,106,0,0.114830941,46,0,163.9737625,6250.0,6,0,0,0,3.0
106,107,0,0.018886792,80,0,34.99651674,10060.0,5,0,0,0,0.0
107,108,0,0.635415157,32,0,1558.4805059999999,3000.0,4,0,1,0,1.0
108,109,0,0.9999999,62,0,5522.335780118,8314.0,8,0,3,0,0.0
109,110,0,0.041257909,61,0,,6438.4734917733085,11,0,4,0,
110,111,0,0.096737158,47,0,77.990248,8000.0,2,0,0,0,2.0
111,112,0,0.31844615,58,0,5299.617370964,3833.0,26,0,4,0,0.0
112,113,0,0.186987534,52,0,83.97600750000001,3500.0,4,0,0,0,0.0
113,114,0,0.006541851,68,0,1080.89191,10000.0,10,0,2,0,1.0
114,115,0,0.180972181,39,1,1190.6155577749998,3097.0,7,0,1,0,3.0
115,116,0,0.00750765,74,0,,6438.4734917733085,4,0,0,0,0.0
116,117,0,0.06790706,46,0,1520.8508958,10200.0,6,0,2,0,0.0
117,118,0,0.033461782,44,0,5056.756637744001,4067.0,5,0,2,0,1.0
118,119,0,0.007520592,68,0,,6438.4734917733085,4,0,0,0,0.0
119,120,0,0.015271802,68,0,1003.87709488,8168.0,6,0,0,0,0.0
120,121,0,0.51712072,31,0,61.876247500000005,500.0,3,0,0,0,0.0
121,122,0,0.317975796,34,0,1340.7020639999998,4500.0,11,0,2,0,0.0
122,123,0,0.297594642,67,0,992.760490055,4145.0,13,0,0,0,0.0
123,124,0,0.444837661,58,0,5131.633458,14000.0,9,0,2,1,4.0
124,125,0,0.277956679,39,0,,6438.4734917733085,9,0,2,0,0.0
125,126,0,0.003722015,58,0,2044.36667628,3228.0,5,0,1,0,0.0
126,127,0,0.0,61,0,734.77734,3300.0,14,0,1,0,0.0
127,128,0,0.0,59,0,4194.781153947,19167.0,13,0,2,0,0.0
128,129,0,0.151912549,36,0,3196.7336040000005,12000.0,22,0,2,0,0.0
129,130,0,0.0,59,0,1582.648299,4500.0,12,0,1,0,0.0
130,131,0,0.175727593,43,1,,6438.4734917733085,4,0,1,0,0.0
131,132,0,0.011498563,77,0,1.998002,1000.0,1,0,0,0,0.0
132,133,0,0.0,48,0,2354.4825304,4550.0,7,0,2,0,0.0
133,134,0,0.163037489,81,0,237.913517058,2751.0,7,0,0,0,1.0
134,135,0,0.047311582,51,0,317.89908045,3150.0,5,0,0,0,0.0
135,136,0,0.083880003,53,0,1585.800354619,7943.0,8,0,1,0,0.0
136,137,0,0.089478348,56,0,2877.9340986,2700.0,11,0,1,0,2.0
137,138,0,0.773519223,63,0,4673.8707723669995,4139.0,12,0,1,0,1.0
138,139,0,0.093962275,55,0,1058.88795075,9450.0,6,0,2,0,0.0
139,140,0,0.21955042,54,0,1711.684017086,5417.0,20,0,2,0,1.0
140,141,0,0.147996253,55,0,2196.676909765,6799.0,5,0,1,0,0.0
141,142,0,0.576518559,72,0,,6438.4734917733085,11,0,1,0,0.0
142,143,0,0.243872021,53,0,4613.465974142,8639.0,22,0,2,0,3.0
143,144,0,0.362483818,27,0,,6438.4734917733085,4,0,0,0,0.0
144,145,0,0.116676791,31,0,1305.6564058,3800.0,7,0,1,0,0.0
145,146,0,0.9999999,38,0,2524.56630296,5821.0,7,0,1,0,4.0
146,147,0,0.496911825,40,0,5654.5476375,12500.0,11,0,2,0,2.0
147,148,0,0.130902106,48,1,1684.572119038,3937.0,17,0,1,0,0.0
148,149,0,0.54699881,50,0,2618.2519265,3500.0,9,0,2,0,3.0
149,150,0,0.072277109,34,0,53.974087764,2083.0,2,0,0,0,0.0
150,151,0,0.0,48,2,1112.629125,3000.0,14,0,1,0,5.0
151,152,0,0.175932019,57,1,2295.3441875000003,3500.0,9,0,1,0,1.0
152,153,0,0.050789842,30,0,1260.684828,4000.0,4,0,1,0,1.0
153,154,0,0.0,28,0,457.855383096,3166.0,7,0,0,0,0.0
154,155,0,0.21286031,36,0,5402.436249721,9583.0,10,0,2,0,1.0
155,156,0,0.012682366,60,0,2818.587018975,6825.0,20,0,2,0,0.0
156,157,0,0.121557062,58,0,4115.657028,12000.0,23,0,2,0,4.0
157,158,0,0.040795358,49,0,2486.1980005,3100.0,11,0,1,0,0.0
158,159,0,0.147712223,40,0,236.96514879999998,6800.0,6,0,0,0,3.0
159,160,0,0.0,63,0,,6438.4734917733085,4,0,0,0,
160,161,0,0.0,50,1,2526.273434661,3477.0,5,0,1,0,1.0
161,162,0,0.070771911,38,0,,6438.4734917733085,6,0,1,0,0.0
162,163,1,1.046279103,47,1,5980.895699984,5416.0,6,0,2,0,1.0
163,164,0,0.323719804,63,0,3143.389159982,5146.0,9,0,2,0,2.0
164,165,0,0.36459777,42,0,4107.406099524,6916.0,7,0,3,0,0.0
165,166,0,0.637736406,54,2,6341.61780375,1875.0,9,0,2,0,0.0
166,167,0,0.081379827,63,0,,6438.4734917733085,8,0,1,0,0.0
167,168,0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0
168,169,0,0.170103002,36,0,1070.861534892,7734.0,8,0,0,0,0.0
169,170,0,0.771845631,33,0,4262.14757,5000.0,7,0,3,0,0.0
170,171,0,0.05538241,72,0,400.9109085,4500.0,4,0,0,0,0.0
171,172,0,0.9999999,29,0,,6438.4734917733085,2,0,0,0,0.0
172,173,0,0.16653274,53,0,4080.456373194,7506.0,11,0,3,0,3.0
173,174,0,0.008632035,79,0,1533.6348467999999,4200.0,9,0,1,0,0.0
174,175,0,0.13527952,58,0,3233.65799358,9455.0,11,0,2,0,2.0
175,176,0,0.167571389,69,0,1653.6692650000002,5000.0,10,0,1,0,1.0
176,177,0,0.9999999,69,0,11.994680995,2255.0,0,1,0,0,3.0
177,178,0,0.068335151,75,0,109.98907194,10065.0,9,0,0,0,0.0
178,179,0,0.0,41,0,2178.0924624,2400.0,6,0,1,0,0.0
179,180,1,0.946963874,35,0,,6438.4734917733085,6,0,1,0,1.0
180,181,0,0.405183973,46,0,5142.3321642,7700.0,22,0,2,0,1.0
181,182,0,0.055549313,65,0,,6438.4734917733085,6,0,1,0,1.0
182,183,0,0.676195456,55,0,1733.56333319,3970.0,10,1,1,0,0.0
183,184,0,0.184986787,55,4,,6438.4734917733085,11,0,1,0,0.0
184,185,1,0.085338293,51,0,2960.5224936,6200.0,11,0,1,0,0.0
185,186,1,0.0,25,0,445.847103792,2916.0,3,0,0,1,0.0
186,187,1,0.786485406,44,0,1132.708291374,3883.0,7,2,0,2,1.0
187,188,0,0.0112096,86,0,,6438.4734917733085,3,0,0,0,0.0
188,189,0,0.03833451,56,0,2194.56109,5000.0,7,0,2,0,0.0
189,190,0,0.714980139,55,0,7063.529100000001,15000.0,12,0,2,0,3.0
190,191,0,0.043032042,64,0,2268.667986037,6833.0,14,0,2,0,0.0
191,192,0,1.095083357,53,5,1878.4632964999998,3500.0,7,1,1,2,0.0
192,193,0,0.0,49,0,,6438.4734917733085,11,0,1,0,0.0
193,194,0,0.9999999,55,0,507.84373899999997,3250.0,5,0,0,0,4.0
194,195,0,0.101430135,80,1,80.983805,5000.0,9,0,0,0,0.0
195,196,1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0
196,197,0,0.762158561,44,4,4713.775542,21000.0,5,0,1,0,3.0
197,198,0,0.231692268,40,0,394.88033970000004,3300.0,7,0,0,0,0.0
198,199,0,0.114869499,35,0,,6438.4734917733085,6,0,0,0,0.0
199,200,0,0.035489848,69,0,1048.6915629999999,3400.0,9,0,1,0,0.0
200,201,0,0.045423864,64,0,942.8186871999999,5200.0,4,0,1,0,0.0
201,202,0,0.311954668,61,0,2656.730716638,9866.0,12,0,2,0,2.0
202,203,0,0.078738916,46,0,797.8337856,4800.0,6,0,1,0,4.0
203,204,0,0.137609462,49,0,3123.570462624,7272.0,11,0,2,0,0.0
204,205,0,0.030173038,64,0,1564.82613,9000.0,8,0,1,0,0.0
205,206,0,0.021978375,40,0,4437.55624,10000.0,12,0,5,0,2.0
206,207,0,0.443696851,27,0,141.975657475,5833.0,4,0,0,0,0.0
207,208,0,0.007506793,60,0,,6438.4734917733085,8,0,1,0,1.0
208,209,0,0.046640328,92,1,90.96567284999999,2650.0,13,0,0,0,0.0
209,210,0,0.292365949,50,0,3676.57982125,8750.0,8,0,2,0,0.0
210,211,0,0.20808276,64,0,,6438.4734917733085,14,0,2,0,0.0
211,212,0,0.9999999,66,1,693.6418984950001,1937.0,4,1,0,0,0.0
212,213,0,0.013500824,53,0,3485.816532,19000.0,8,0,1,0,2.0
213,214,0,0.9999999,62,0,297.95034,6000.0,1,0,0,0,0.0
214,215,1,0.655316473,63,0,,6438.4734917733085,19,0,2,0,0.0
215,216,0,0.9999999,50,2,,6438.4734917733085,4,0,1,0,0.0
216,217,0,0.028113957,61,0,68.9686514,2200.0,12,0,0,0,0.0
217,218,0,0.222696207,42,0,800.0,1.0,3,0,1,0,2.0
218,219,0,0.593985244,63,0,1746.6673035,5250.0,4,0,2,0,0.0
219,220,0,0.017508178,73,1,564.8644113979999,4166.0,12,0,1,0,0.0
220,221,0,0.611865678,72,0,347.95422,7600.0,3,0,1,0,0.0
221,222,0,0.333060631,52,3,3651.2998454099998,5215.0,15,0,2,1,0.0
222,223,0,0.009025178,45,0,3077.623164645,8167.0,4,0,1,0,2.0
223,224,0,0.260271523,44,0,2066.703145448,6962.0,11,0,1,0,0.0
224,225,0,0.455950788,63,1,4211.298234078,6001.0,19,0,2,0,0.0
225,226,0,0.080288098,37,0,1934.677554,6000.0,7,0,1,0,0.0
226,227,1,1.953488372,38,0,545.846501396,3556.0,5,0,0,0,2.0
227,228,0,0.181557324,36,0,1121.4392799999998,2000.0,7,0,1,0,1.0
228,229,0,0.147123525,41,0,2790.5639744,6400.0,5,0,1,0,2.0
229,230,0,0.025601772,63,1,2627.73723,10000.0,8,0,1,0,0.0
230,231,0,0.0,76,0,18.997532424000003,7704.0,3,0,0,0,0.0
231,232,0,0.196372799,43,0,1397.4625131999999,2600.0,10,0,1,0,0.0
232,233,0,0.083945242,64,0,1705.4119262,2900.0,6,0,1,0,0.0
233,234,0,0.034833091,67,0,5944.539751292,12916.0,9,0,2,0,0.0
234,235,0,0.787522133,52,0,1562.6461397760002,4416.0,12,0,0,0,1.0
235,236,0,0.0,66,0,,6438.4734917733085,8,0,1,0,0.0
236,237,0,0.125429152,55,0,2383.523295,5000.0,3,0,2,0,0.0
237,238,0,0.06037487,42,0,3375.421325259,5833.0,17,0,2,0,2.0
238,239,0,0.9999999,28,0,,6438.4734917733085,0,0,0,0,
239,240,0,0.295928252,47,0,3972.71623,14000.0,6,0,2,0,1.0
240,241,1,0.973339258,61,1,1154.7900375,5500.0,11,0,0,1,1.0
241,242,0,0.002856735,73,0,2.9997135000000004,10500.0,10,0,0,0,0.0
242,243,0,0.877564897,58,0,,6438.4734917733085,10,0,2,0,0.0
243,244,0,0.9999999,68,0,242.959506,6000.0,0,0,0,0,0.0
244,245,0,0.053431552,41,0,1832.79636,9000.0,3,0,1,0,0.0
245,246,0,0.732660667,44,2,1291.859584,9200.0,15,0,1,0,0.0
246,247,0,0.084220458,42,0,3069.541451652,6694.0,26,0,2,0,4.0
247,248,0,0.114561798,40,0,3599.64004,10000.0,20,0,2,0,2.0
248,249,0,0.012151003,78,0,39.991113,4500.0,12,0,0,0,0.0
249,250,0,0.081310737,81,0,551.834434371,3333.0,4,0,0,0,0.0
250,251,0,0.09811305,49,0,1702.742984625,6625.0,9,0,2,0,0.0
251,252,1,1.048210842,58,7,531.8480440000001,3500.0,12,0,0,0,0.0
252,253,0,0.011883886,54,0,905.90708325,9750.0,8,0,1,0,2.0
253,254,0,0.75264947,33,1,417.941679254,7166.0,6,0,0,0,0.0
254,255,0,0.112321289,53,0,2268.7330875000002,8500.0,9,0,1,0,5.0
255,256,0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0
256,257,0,0.634327056,49,1,1846.876875,15000.0,7,0,0,0,1.0
257,258,0,0.15576324,44,0,1341.72192065,4825.0,4,0,1,0,2.0
258,259,0,0.0,63,0,74.99201081400001,9387.0,9,0,0,0,0.0
259,260,0,0.090614887,42,0,,6438.4734917733085,5,0,0,0,0.0
260,261,0,0.034645112,65,0,1564.8748125,12500.0,4,0,1,0,1.0
261,262,0,0.027446383,54,0,,6438.4734917733085,6,0,1,0,0.0
262,263,0,0.412398622,28,0,185.962738465,4991.0,5,0,0,0,0.0
263,264,0,0.024670782,78,0,,6438.4734917733085,6,0,1,0,
264,265,0,0.046710961,66,0,2794.8820475,2500.0,12,0,1,0,0.0
265,266,0,0.976531824,32,0,1795.7359216,6800.0,6,0,0,0,2.0
266,267,0,0.007982621,43,1,2018.9903112769998,208333.0,11,0,1,0,1.0
267,268,0,0.267541336,59,0,3634.3623909,5700.0,13,0,2,0,1.0
268,269,0,0.019779326,76,0,774.7328511,2900.0,9,0,0,0,0.0
269,270,0,0.010402205,68,0,338.9058612,3600.0,6,0,1,0,0.0
270,271,0,0.9999999,61,0,680.4704508650001,1285.0,3,0,1,0,0.0
271,272,0,0.029816467,68,0,781.824861792,4464.0,12,0,1,0,1.0
272,273,0,0.181713732,57,0,1521.8695510559999,11666.0,17,0,1,0,1.0
273,274,0,0.051368557,68,0,2078.5547211479998,4668.0,10,0,1,0,2.0
274,275,0,0.29264536,57,0,5453.794079856,26484.0,11,0,2,0,3.0
275,276,1,0.220823719,46,1,1087.362251305,1705.0,5,0,0,0,0.0
276,277,0,0.008099838,69,0,3248.610105872,8332.0,3,0,1,0,0.0
277,278,0,0.0,44,0,2175.673617546,6666.0,4,0,2,0,1.0
278,279,0,0.006099797,28,0,522.86056875,3750.0,8,0,0,0,0.0
279,280,0,0.909538698,53,1,4467.4043475,7500.0,16,0,1,0,1.0
280,281,0,0.941072508,40,0,1577.82181711,8855.0,9,0,1,0,0.0
281,282,0,0.991667222,36,1,3002.4451231390003,5411.0,10,0,2,0,1.0
282,283,0,0.691488418,42,0,4431.7272837499995,16250.0,11,0,1,0,1.0
283,284,0,0.112855258,64,0,815.6924245079999,2652.0,6,0,1,0,0.0
284,285,0,0.260971034,57,0,,6438.4734917733085,16,0,3,0,
285,286,0,0.048244493,62,0,4367.737127095,16615.0,11,0,1,0,1.0
286,287,0,0.9999999,47,0,874.907839696,9493.0,2,2,0,1,0.0
287,288,0,0.9999999,62,0,0.0,5480.0,3,0,0,0,0.0
288,289,0,0.074256375,49,0,1739.65207,5000.0,11,0,2,0,3.0
289,290,0,0.144878408,66,0,2531.715538,8900.0,9,0,1,0,0.0
290,291,0,0.191001932,54,0,3585.294374186,5081.0,10,0,2,0,2.0
291,292,0,0.219382879,56,1,,6438.4734917733085,9,0,1,0,1.0
292,293,0,0.679813777,83,0,2907.3104112960004,4216.0,6,0,2,0,0.0
293,294,0,2340.0,45,0,2827.660664049,8333.0,7,0,2,0,2.0
294,295,0,0.371875401,29,0,1233.4637109999999,2300.0,9,0,1,0,3.0
295,296,0,0.025856408,67,0,1093.916205794,13054.0,13,0,1,0,0.0
296,297,0,0.547887778,29,1,671.753484,2725.0,5,0,0,1,0.0
297,298,0,0.271668778,46,1,4468.7171758,15800.0,14,0,2,0,4.0
298,299,0,0.085152475,25,0,0.0,0.0,5,0,0,0,0.0
299,300,0,0.897203427,68,0,3151.212196,4000.0,8,0,2,0,0.0
300,301,0,0.25889775,33,0,2633.4625611,4900.0,3,0,1,0,1.0
301,302,0,0.0,55,1,222.96011270000002,5590.0,8,0,0,0,0.0
302,303,0,0.035940506,46,0,1807.728815706,6666.0,10,0,1,0,3.0
303,304,0,0.9999999,66,0,540.9533676,11600.0,2,0,0,0,1.0
304,305,0,0.465238835,66,0,1241.6085724119998,3172.0,8,1,1,0,0.0
305,306,0,0.865423051,48,0,37.9241515,500.0,1,0,0,0,0.0
306,307,0,0.696411671,52,0,4497.591131,11000.0,11,0,1,0,4.0
307,308,0,0.544497658,32,1,1111.833235549,6667.0,5,1,0,0,0.0
308,309,0,0.081238383,51,0,517.9331665,7750.0,14,0,0,0,2.0
309,310,0,0.948762809,27,0,603.855051064,4166.0,5,0,0,0,0.0
310,311,0,0.0,32,2,3458.53638896,7460.0,10,0,1,1,0.0
311,312,0,0.016598893,30,0,204.863424,1500.0,5,0,0,0,0.0
312,313,0,0.063329564,37,0,2038.6700642249998,6179.0,6,0,1,0,3.0
313,314,0,0.093638481,49,0,356.957162809,8333.0,10,0,0,0,1.0
314,315,0,0.0,37,0,1453.8159702,7900.0,5,0,1,0,5.0
315,316,0,0.730271957,36,1,3480.3672035,5500.0,10,0,2,0,0.0
316,317,0,0.426371142,62,1,1488.59394567,3666.0,15,0,1,0,0.0
317,318,0,0.948978489,57,0,349.956256,8000.0,3,0,0,0,1.0
318,319,0,0.0,59,0,0.0,4200.0,7,0,0,0,1.0
319,320,0,1.00264667,38,2,1677.5274583,3550.0,8,1,0,1,4.0
320,321,0,0.0164781,92,0,,6438.4734917733085,3,0,0,0,0.0
321,322,0,0.042606843,58,0,,6438.4734917733085,13,0,3,0,0.0
322,323,0,0.022890604,37,0,1759.7115239000002,6100.0,16,0,1,0,0.0
323,324,0,0.283821988,63,0,933.2497989320001,1244.0,9,0,0,0,0.0
324,325,0,0.319779462,32,0,15591.7526625,12500.0,12,0,8,0,0.0
325,326,0,0.155240525,52,0,3358.51647949,6946.0,15,0,2,0,1.0
326,327,0,0.013115183,43,0,0.0,0.0,21,0,2,0,2.0
327,328,0,0.067259209,29,1,351.83165963,2090.0,3,0,0,0,0.0
328,329,0,0.284236153,45,1,2391.6811125,7500.0,9,0,1,0,2.0
329,330,0,0.727560021,38,0,1726.2875415580002,2423.0,6,0,1,0,1.0
330,331,0,0.687779097,62,0,1768.75053149,7090.0,15,0,0,0,0.0
331,332,0,0.9999999,29,0,,6438.4734917733085,0,0,0,0,0.0
332,333,0,0.033708851,41,0,2656.5912945,6500.0,9,0,1,0,2.0
333,334,0,0.0,29,0,581.806065,3000.0,7,0,0,0,0.0
334,335,1,0.03719769,47,0,993.96025,25000.0,11,0,1,0,3.0
335,336,0,0.0,55,1,1708.6116784,4400.0,4,0,2,0,1.0
336,337,0,0.053589282,87,0,7.9984675030000005,5213.0,4,0,0,0,0.0
337,338,0,0.100773109,41,0,1843.80024179,9230.0,7,0,1,0,0.0
338,339,0,0.0,61,0,1273.605032601,913.0,11,0,2,0,0.0
339,340,0,0.399946674,28,0,758.8102960000001,4000.0,6,0,0,0,1.0
340,341,0,0.052653171,43,0,1135.427706944,1984.0,9,0,0,0,4.0
341,342,0,0.072318616,71,0,1833.5735866,4300.0,8,0,2,0,1.0
342,343,0,0.203959597,46,0,1173.9270886,16100.0,6,0,1,0,2.0
343,344,0,0.9999999,30,0,505.9096616,5600.0,1,0,0,0,0.0
344,345,1,0.880370887,43,0,3470.538676572,7523.0,6,0,1,0,1.0
345,346,0,0.429246267,59,0,6072.618745248,15928.0,17,0,1,0,1.0
346,347,0,0.0,47,0,,6438.4734917733085,2,0,1,0,1.0
347,348,0,0.049529205,61,0,,6438.4734917733085,15,0,0,0,0.0
